,variable,hypothesis,accepted_kl,p-value_kl,accepted_jsd,p-value_jsd,accepted_wsd,p-value_wsd,accepted_hd,p-value_hd,accepted_bd,p-value_bd,accepted_hc,p-value_hc,accepted_hi,p-value_hi
0,prune_rate_in,H1,True,3.2427969406774024e-30,True,2.264624486187273e-115,True,0.0,True,3.9095812256296524e-111,True,1.057271538060734e-162,True,3.318753206582391e-45,True,2.049454407565041e-103
1,prune_rate_in,H2,False,1.0,True,1.0373121162419436e-80,True,4.550840581765599e-72,True,7.786106719269636e-63,True,3.7344368674889884e-237,True,3.766118869157463e-56,True,1.6801398054236276e-66
2,prune_rate_in,H3,True,0.0084033015772569,True,1.0511658647246599e-156,True,0.0,True,1.2654780256021544e-167,True,2.400772360544646e-144,True,3.3738726961260022e-164,True,8.109987767934545e-126
3,prune_rate_in,H4,True,1.1053427701538852e-05,True,3.249551471309089e-24,True,4.4760248098782984e-43,True,3.072993908282465e-21,True,8.261931533916403e-24,False,0.4839805251659949,True,2.816054123973793e-33
4,prune_rate_out,H1,True,3.2804666293221584e-126,True,5.6586815229694407e-101,True,6.249928479292205e-294,True,8.42562694217349e-119,True,1.968376118559769e-92,False,0.102890736561897,True,1.3134671018123164e-110
5,prune_rate_out,H2,True,8.894449274562106e-139,True,1.8342245903473517e-129,True,5.631560342207713e-66,True,1.1653271528579634e-100,True,2.3750623907143423e-119,True,2.6959196817176364e-57,True,7.045143522231896e-96
6,prune_rate_out,H3,True,4.383372835448198e-99,True,2.177002594932093e-25,True,2.1145767768876727e-260,True,8.914855863484321e-26,True,2.5732261506979018e-25,False,1.0,True,1.1496654143613888e-31
7,prune_rate_out,H4,True,1.3106183171246944e-18,True,1.8188723704764705e-63,True,7.2849634842778905e-65,True,4.598234861518607e-62,True,3.32496111737449e-63,True,1.2507902288376192e-29,True,6.714643483186885e-57
8,sign_rate_in,H1,False,0.9976715013799544,True,9.752460529092989e-50,True,1.6518864772304797e-59,True,2.7150831778194227e-49,False,,True,3.5789595512860375e-55,True,3.185571724724602e-46
9,sign_rate_in,H2,True,0.0001534007238643,True,9.580202610159462e-27,True,4.5211481983613584e-76,True,1.1098053520726944e-26,False,,False,1.0,True,2.832004211508516e-25
10,sign_rate_in,H3,False,0.9999999986370924,True,4.0075264021254516e-126,False,0.0544535598899916,True,2.940896088353399e-136,False,,True,8.797277716054837e-222,True,3.2140905947133222e-86
11,sign_rate_in,H4,True,5.707953106651891e-06,True,0.0021465998332094,True,1.2555173341551628e-70,True,0.0123128281386626,False,0.3832753157953982,False,0.8124057966535996,True,1.4362773175242037e-07
12,sign_rate_out,H1,True,1.2849780511389042e-32,False,0.9999929356971056,True,2.1261329767851763e-143,False,0.9999970128317884,False,0.9999803159930608,False,0.9999847365947352,False,0.9987517582868808
13,sign_rate_out,H2,False,0.8043567613923794,True,2.0485364740704412e-35,True,3.4111398806544793e-41,True,1.2188236998150733e-33,True,2.6255941908053244e-48,True,4.568838243274392e-15,True,1.644602301132309e-34
14,sign_rate_out,H3,True,2.9568596194046216e-36,False,1.0,True,8.100696000977362e-130,False,1.0,False,1.0,False,0.9999999999559632,False,0.9999999999999756
15,sign_rate_out,H4,False,0.1393689472113485,True,0.0002981855147541,True,8.367315722877572e-20,True,0.0003438955501355,True,0.0002786674878162,False,0.2837268021642221,True,0.0001485810449437
